order_id,amount,order_date,customer_name,payment_mode
ORD1001,1599,2026-08-03,Ira Mehta,NETBANKING
ORD1002,1299,2026-08-14,Vivaan Patel,UPI
ORD1003,4999,2026-08-03,Rohan Iyer,CARD
ORD1004,7499,2026-08-05,Riya Gupta,NETBANKING
ORD1005,3499,2026-08-06,Vivaan Sharma,UPI
ORD1006,499,2026-08-12,Meera Iyer,UPI
ORD1007,1299,2026-08-19,Meera Gupta,CARD
ORD1008,799,2026-08-07,Meera Kapoor,UPI
ORD1009,999,2026-08-07,Aarav Nair,UPI
ORD1010,3499,2026-08-18,Ananya Mehta,NETBANKING
ORD1011,7499,2026-08-04,Riya Joshi,CARD
ORD1012,1599,2026-08-18,Arjun Sharma,NETBANKING
ORD1013,4999,2026-08-18,Riya Joshi,NETBANKING
ORD1014,7499,2026-08-08,Ira Kapoor,NETBANKING
ORD1015,1299,2026-08-02,Riya Reddy,UPI
ORD1016,3499,2026-08-06,Diya Sharma,UPI
ORD1017,3499,2026-08-17,Ishaan Kapoor,NETBANKING
ORD1018,1599,2026-08-07,Diya Nair,UPI
ORD1019,2499,2026-08-03,Aarav Mehta,CARD
ORD1020,1599,2026-08-03,Saanvi Sharma,CARD
ORD1021,1999,2026-08-21,Saanvi Kapoor,UPI
ORD1022,799,2026-08-03,Aarav Patel,UPI
ORD1023,9999,2026-08-09,Vivaan Patel,UPI
ORD1024,9999,2026-08-06,Kabir Joshi,NETBANKING
ORD1025,4999,2026-08-11,Saanvi Nair,UPI
ORD1026,9999,2026-08-17,Meera Kapoor,NETBANKING
ORD1027,7499,2026-08-19,Vivaan Iyer,UPI
ORD1028,7499,2026-08-04,Meera Malhotra,NETBANKING
ORD1029,3499,2026-08-04,Rohan Malhotra,NETBANKING
ORD1030,1599,2026-08-15,Ananya Gupta,NETBANKING
ORD1031,799,2026-08-03,Vivaan Joshi,UPI
ORD1032,299,2026-08-15,Meera Joshi,UPI
ORD1033,1299,2026-08-14,Ishaan Gupta,UPI
ORD1034,1999,2026-08-13,Diya Reddy,CARD
ORD1035,299,2026-08-08,Ishaan Patel,UPI
ORD1036,1299,2026-08-01,Arjun Reddy,CARD
ORD1037,799,2026-08-11,Diya Sharma,NETBANKING
ORD1038,4999,2026-08-20,Ishaan Mehta,CARD
ORD1039,799,2026-08-14,Riya Nair,UPI
ORD1040,299,2026-08-13,Meera Sharma,NETBANKING
ORD1041,7499,2026-08-04,Riya Nair,CARD
ORD1042,499,2026-08-05,Ananya Nair,NETBANKING
ORD1043,499,2026-08-18,Vivaan Patel,NETBANKING
ORD1044,1599,2026-08-11,Aarav Joshi,UPI
ORD1045,1999,2026-08-14,Aarav Malhotra,UPI
ORD1046,299,2026-08-12,Ananya Nair,CARD
ORD1047,3499,2026-08-15,Ishaan Iyer,UPI
ORD1048,9999,2026-08-13,Rohan Gupta,UPI
ORD1049,1599,2026-08-16,Diya Reddy,CARD
ORD1050,1599,2026-08-20,Aarav Nair,UPI
ORD1051,2499,2026-08-14,Ira Malhotra,NETBANKING
ORD1052,4999,2026-08-02,Ira Sharma,UPI
ORD1053,4999,2026-08-18,Ananya Malhotra,UPI
ORD1054,1299,2026-08-02,Diya Patel,NETBANKING
ORD1055,9999,2026-08-17,Arjun Sharma,CARD
ORD1056,2499,2026-08-10,Vivaan Joshi,NETBANKING
ORD1057,1999,2026-08-04,Riya Sharma,NETBANKING
ORD1058,2499,2026-08-09,Riya Mehta,NETBANKING
ORD1059,3499,2026-08-12,Riya Joshi,CARD
ORD1060,7499,2026-08-01,Kabir Sharma,UPI
ORD1061,1299,2026-08-08,Ishaan Reddy,NETBANKING
ORD1062,2499,2026-08-13,Vivaan Nair,NETBANKING
ORD1063,499,2026-08-16,Meera Malhotra,NETBANKING
ORD1064,1299,2026-08-21,Rohan Kapoor,CARD
ORD1065,799,2026-08-07,Ira Nair,UPI
ORD1066,2499,2026-08-06,Ira Patel,NETBANKING
ORD1067,1299,2026-08-07,Ira Kapoor,UPI
ORD1068,1599,2026-08-12,Rohan Kapoor,UPI
ORD1069,7499,2026-08-14,Ananya Nair,CARD
ORD1070,799,2026-08-15,Vivaan Iyer,UPI
ORD1071,999,2026-08-10,Arjun Mehta,UPI
ORD1072,2499,2026-08-08,Riya Gupta,CARD
ORD1073,7499,2026-08-21,Ananya Mehta,NETBANKING
ORD1074,9999,2026-08-08,Diya Malhotra,CARD
ORD1075,7499,2026-08-12,Kabir Nair,UPI
ORD1076,1999,2026-08-12,Rohan Joshi,NETBANKING
ORD1077,1299,2026-08-12,Ananya Iyer,NETBANKING
